hsa-mir-10b,hsa-mir-21,hsa-mir-30a,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-141,hsa-mir-145,hsa-mir-200a,hsa-mir-200b,hsa-mir-155,hsa-mir-191,hsa-mir-203a,hsa-mir-203b,hsa-mir-210,hsa-mir-373,label
929580,193021,513214,15038,13769,3997,4332,3602,14939,1617,1891,371,1887,8091,50,364,0,normal
953132,109948,282081,10911,10352,4151,4440,413,29417,189,150,398,1636,1226,6,261,2,normal
669184,106264,168912,10451,9796,3102,3206,620,24866,346,373,422,1989,2614,13,149,2,normal
1939577,196320,633500,42952,39863,9947,10256,2271,48264,1289,1383,736,1724,10754,113,268,3,normal
731437,71708,237185,6762,6215,2807,2885,649,20335,357,391,394,1336,2710,13,36,0,normal
490921,52408,161887,15078,13895,1449,1532,181,41274,85,76,166,863,1174,8,244,0,normal
537645,52151,120188,6938,6202,2481,2602,547,18316,298,388,275,829,2196,29,208,0,normal
682565,265771,379073,10280,9736,3661,3898,2292,17825,910,1251,558,1411,9384,53,292,0,normal
781710,139414,223793,13106,12328,3775,3903,376,38056,307,281,597,2738,1822,14,218,0,normal
856783,29945,187985,10230,9607,6780,6949,441,58345,160,189,304,3994,1290,6,286,0,normal
491342,277437,166933,8080,7434,2470,2625,716,11912,367,373,826,981,2069,18,243,0,normal
655427,32793,244682,11411,10960,3214,3364,14,41707,6,6,238,2512,221,1,385,0,normal
739203,241976,443401,10436,9667,2493,2674,2206,8597,1434,1367,406,1283,7259,55,408,0,normal
915249,203172,272944,16036,15113,3986,4222,773,23712,484,528,403,1094,2606,17,99,0,normal
960677,338889,300295,12325,11449,3659,3880,1414,18674,990,1041,1717,1946,15431,168,169,0,normal
1183386,153534,255035,21014,19648,3396,3539,23,49853,15,9,508,2129,612,2,716,0,normal
508056,78813,179097,9165,8483,1176,1197,486,10004,341,402,141,663,3263,26,261,1,normal
1643622,212763,414573,26584,25271,6180,6369,803,71178,479,604,656,2666,3147,24,602,0,normal
290840,162590,292399,2233,2038,439,545,1171,3647,340,425,363,561,2612,29,23,0,normal
185971,79361,114671,16806,14958,5604,5751,749,2532,609,369,77,380,3859,5,276,0,normal
1073638,518000,328718,14580,13698,4934,5089,1470,21513,927,752,1192,1387,5949,48,113,0,normal
1178215,237402,366416,16086,14642,3277,3357,1101,9545,687,692,358,692,7127,44,41,0,normal
687215,57691,221745,11480,10504,2089,2183,458,16929,301,283,117,735,2912,16,139,0,normal
874604,392056,221772,44038,40129,13264,13549,868,65560,726,980,885,2454,3969,19,546,0,normal
602780,117798,238258,14520,12973,3763,4003,1559,13320,598,753,405,1134,4982,22,109,0,normal
1610073,89549,442375,61464,57567,3479,3729,79,22816,68,92,231,904,1411,10,42,1,normal
461376,362256,156470,12277,11099,2294,2620,1267,7881,995,558,2086,911,3603,37,174,0,normal
967126,100626,238870,12873,12162,3173,3359,241,33504,118,144,256,2766,1374,7,443,2,normal
558764,190524,186380,11333,10611,2104,2168,914,15475,575,612,580,1057,4752,34,203,0,normal
1051777,597543,351641,33187,30437,11992,13158,2957,33707,1807,3684,851,2033,4069,18,105,0,normal
751374,45832,156692,6049,5560,1226,1322,288,9645,232,213,131,449,2359,21,105,0,normal
657754,167632,284211,13707,12587,1803,2029,1601,9572,1672,1575,175,1141,12312,71,251,0,normal
1708199,301647,568394,281504,259699,7384,7672,2349,59044,1100,1247,1591,14657,3423,26,4438,0,normal
1915120,122887,343393,11951,11301,4619,4917,327,70233,122,157,845,2461,855,15,360,0,normal
947790,242173,224306,10543,9798,2833,2986,522,13687,392,416,796,964,4696,20,41,1,normal
647400,266967,149614,9365,8689,2782,2881,45,28272,27,17,746,2528,243,5,187,0,normal
525525,35117,173103,11484,10349,6605,6690,749,21010,358,565,231,2249,4242,16,59,0,normal
1825728,901646,904902,85552,75228,21934,22836,6685,48291,3710,4553,1425,3936,19500,60,1759,0,normal
677841,153367,226241,10638,9863,3270,3321,973,16603,538,454,246,892,2966,22,243,0,normal
1035543,136544,359824,13750,12407,2371,2429,746,13769,526,641,349,692,6765,43,66,0,normal
1518216,91032,369573,43461,40449,5358,5492,49,115361,28,42,629,5815,1004,4,1743,3,normal
1222714,248499,262949,16037,15063,3664,3936,974,36821,417,461,486,1270,3655,36,288,0,normal
113225,467274,99848,6093,5572,852,911,5813,7822,978,791,616,3528,11529,273,658,0,breast
