hsa-mir-10b,hsa-mir-21,hsa-mir-145,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-155,label
65233,439465,1633,349,394,477,breast
183541,1116721,5288,871,929,2620,breast
234643,382208,12884,1242,1291,534,breast
321715,892999,1189,330,393,627,breast
18467,77750,1219,94,99,237,breast
85245,607327,5043,2155,2301,3125,breast
865483,2062078,6724,3088,3040,3263,breast
156195,621452,2075,747,847,841,breast
413413,2052146,28675,1735,1861,3597,breast
56336,898859,1866,329,368,789,breast
844297,2084030,12676,4152,4300,2399,breast
555164,2037173,12163,1392,1497,823,breast
46425,365462,3912,79,85,139,breast
117455,450818,4696,817,833,1720,breast
57287,263195,590,198,229,413,breast
78814,826436,5890,153,170,427,breast
822326,707226,5632,1554,1573,310,breast
1126107,1318380,9727,1891,1946,921,breast
254484,382973,2589,1715,1871,1719,breast
51863,237658,932,151,147,436,breast
135840,1580398,3685,837,851,1235,breast
239293,3194516,3492,736,731,253,breast
84710,647770,4872,786,814,360,breast
65832,513837,1972,231,205,196,breast
38066,576566,1362,342,310,895,breast
77306,410015,2488,179,218,628,breast
70089,523060,2203,443,457,331,breast
357412,1217525,6641,1619,1807,913,breast
92427,889381,968,457,502,451,breast
326289,450659,8579,2864,2952,549,breast
126344,572017,11623,615,546,2146,breast
674663,2021875,15943,7354,7429,3113,breast
208384,615449,3990,1189,1305,508,breast
170297,701504,1814,856,1028,960,breast
316633,1268051,4434,1747,1841,2786,breast
204934,504223,4982,1249,1184,303,breast
436667,682188,3319,854,939,3796,breast
109834,1059202,3056,1716,2076,1203,breast
205819,1183591,3387,635,728,1453,breast
398548,1061673,6119,2427,2531,3206,breast
98037,483724,4870,803,868,3184,breast
109852,369844,3013,1111,1102,4979,breast
72925,643753,1473,339,375,434,breast
79201,265011,1770,859,973,2443,breast
918088,2465164,17872,4581,4812,3008,breast
